Time,Position,Velocity,Ene_0,Ene_1,Pop_0,Pop_1,State
62.000,-9.75200000,0.00400000,-0.01000000,0.01000000,1.00000000,0.00000000,0
63.000,-9.74800000,0.00400000,-0.01000000,0.01000000,1.00000000,0.00000000,0
64.000,-9.74400000,0.00400000,-0.01000000,0.01000000,1.00000000,0.00000000,0
65.000,-9.74000000,0.00400000,-0.01000000,0.01000000,1.00000000,0.00000000,0
66.000,-9.73600000,0.00400000,-0.01000000,0.01000000,1.00000000,0.00000000,0
67.000,-9.73200000,0.00400000,-0.01000000,0.01000000,1.00000000,0.00000000,0
68.000,-9.72800000,0.00400000,-0.01000000,0.01000000,1.00000000,0.00000000,0
69.000,-9.72400000,0.00400000,-0.01000000,0.01000000,1.00000000,0.00000000,0
70.000,-9.72000000,0.00400000,-0.01000000,0.01000000,1.00000000,0.00000000,0
71.000,-9.71600000,0.00400000,-0.01000000,0.01000000,1.00000000,0.00000000,0
72.000,-9.71200000,0.00400000,-0.01000000,0.01000000,1.00000000,0.00000000,0
73.000,-9.70800000,0.00400000,-0.01000000,0.01000000,1.00000000,0.00000000,0
74.000,-9.70400000,0.00400000,-0.01000000,0.01000000,1.00000000,0.00000000,0
75.000,-9.70000000,0.00400000,-0.01000000,0.01000000,1.00000000,0.00000000,0
76.000,-9.69600000,0.00400000,-0.01000000,0.01000000,1.00000000,0.00000000,0
77.000,-9.69200000,0.00400000,-0.01000000,0.01000000,1.00000000,0.00000000,0
78.000,-9.68800000,0.00400000,-0.01000000,0.01000000,1.00000000,0.00000000,0
79.000,-9.68400000,0.00400000,-0.01000000,0.01000000,1.00000000,0.00000000,0
80.000,-9.68000000,0.00400000,-0.01000000,0.01000000,1.00000000,0.00000000,0
81.000,-9.67600000,0.00400000,-0.01000000,0.01000000,1.00000000,0.00000000,0
82.000,-9.67200000,0.00400000,-0.01000000,0.01000000,1.00000000,0.00000000,0
83.000,-9.66800000,0.00400000,-0.01000000,0.01000000,1.00000000,0.00000000,0
84.000,-9.66400000,0.00400000,-0.01000000,0.01000000,1.00000000,0.00000000,0
85.000,-9.66000000,0.00400000,-0.01000000,0.01000000,1.00000000,0.00000000,0
86.000,-9.65600000,0.00400000,-0.01000000,0.01000000,1.00000000,0.00000000,0
87.000,-9.65200000,0.00400000,-0.01000000,0.01000000,1.00000000,0.00000000,0
88.000,-9.64800000,0.00400000,-0.01000000,0.01000000,1.00000000,0.00000000,0
89.000,-9.64400000,0.00400000,-0.01000000,0.01000000,1.00000000,0.00000000,0
90.000,-9.64000000,0.00400000,-0.01000000,0.01000000,1.00000000,0.00000000,0
91.000,-9.63600000,0.00400000,-0.01000000,0.01000000,1.00000000,0.00000000,0
92.000,-9.63200000,0.00400000,-0.01000000,0.01000000,1.00000000,0.00000000,0
93.000,-9.62800000,0.00400000,-0.01000000,0.01000000,1.00000000,0.00000000,0
94.000,-9.62400000,0.00400000,-0.01000000,0.01000000,1.00000000,0.00000000,0
95.000,-9.62000001,0.00400000,-0.01000000,0.01000000,1.00000000,0.00000000,0
96.000,-9.61600001,0.00400000,-0.01000000,0.01000000,1.00000000,0.00000000,0
97.000,-9.61200001,0.00400000,-0.01000000,0.01000000,1.00000000,0.00000000,0
98.000,-9.60800001,0.00400000,-0.01000000,0.01000000,1.00000000,0.00000000,0
99.000,-9.60400001,0.00400000,-0.01000000,0.01000000,1.00000000,0.00000000,0
100.000,-9.60000001,0.00400000,-0.01000000,0.01000000,1.00000000,0.00000000,0
101.000,-9.59600001,0.00400000,-0.01000000,0.01000000,1.00000000,0.00000000,0
102.000,-9.59200001,0.00400000,-0.01000000,0.01000000,1.00000000,0.00000000,0
103.000,-9.58800001,0.00400000,-0.01000000,0.01000000,1.00000000,0.00000000,0
104.000,-9.58400001,0.00400000,-0.01000000,0.01000000,1.00000000,0.00000000,0
105.000,-9.58000001,0.00400000,-0.01000000,0.01000000,1.00000000,0.00000000,0
106.000,-9.57600001,0.00400000,-0.01000000,0.01000000,1.00000000,0.00000000,0
107.000,-9.57200001,0.00400000,-0.01000000,0.01000000,1.00000000,0.00000000,0
108.000,-9.56800001,0.00400000,-0.01000000,0.01000000,1.00000000,0.00000000,0
109.000,-9.56400001,0.00400000,-0.01000000,0.01000000,1.00000000,0.00000000,0
110.000,-9.56000001,0.00400000,-0.01000000,0.01000000,1.00000000,0.00000000,0
111.000,-9.55600001,0.00400000,-0.01000000,0.01000000,1.00000000,0.00000000,0
112.000,-9.55200001,0.00400000,-0.01000000,0.01000000,1.00000000,0.00000000,0
113.000,-9.54800001,0.00400000,-0.01000000,0.01000000,1.00000000,0.00000000,0
114.000,-9.54400001,0.00400000,-0.01000000,0.01000000,1.00000000,0.00000000,0
115.000,-9.54000001,0.00400000,-0.01000000,0.01000000,1.00000000,0.00000000,0
116.000,-9.53600001,0.00400000,-0.01000000,0.01000000,1.00000000,0.00000000,0
117.000,-9.53200001,0.00400000,-0.01000000,0.01000000,1.00000000,0.00000000,0
118.000,-9.52800001,0.00400000,-0.01000000,0.01000000,1.00000000,0.00000000,0
119.000,-9.52400001,0.00400000,-0.01000000,0.01000000,1.00000000,0.00000000,0
120.000,-9.52000001,0.00400000,-0.01000000,0.01000000,1.00000000,0.00000000,0
121.000,-9.51600001,0.00400000,-0.01000000,0.01000000,1.00000000,0.00000000,0
122.000,-9.51200001,0.00400000,-0.01000000,0.01000000,1.00000000,0.00000000,0
123.000,-9.50800001,0.00400000,-0.01000000,0.01000000,1.00000000,0.00000000,0
124.000,-9.50400001,0.00400000,-0.01000000,0.01000000,1.00000000,0.00000000,0
125.000,-9.50000001,0.00400000,-0.01000000,0.01000000,1.00000000,0.00000000,0
126.000,-9.49600001,0.00400000,-0.01000000,0.01000000,1.00000000,0.00000000,0
127.000,-9.49200001,0.00400000,-0.01000000,0.01000000,1.00000000,0.00000000,0
128.000,-9.48800001,0.00400000,-0.01000000,0.01000000,1.00000000,0.00000000,0
129.000,-9.48400001,0.00400000,-0.01000000,0.01000000,1.00000000,0.00000000,0
130.000,-9.48000001,0.00400000,-0.01000000,0.01000000,1.00000000,0.00000000,0
131.000,-9.47600001,0.00400000,-0.01000000,0.01000000,1.00000000,0.00000000,0
132.000,-9.47200001,0.00400000,-0.01000000,0.01000000,1.00000000,0.00000000,0
133.000,-9.46800001,0.00400000,-0.01000000,0.01000000,1.00000000,0.00000000,0
134.000,-9.46400001,0.00400000,-0.01000000,0.01000000,1.00000000,0.00000000,0
135.000,-9.46000001,0.00400000,-0.01000000,0.01000000,1.00000000,0.00000000,0
136.000,-9.45600001,0.00400000,-0.01000000,0.01000000,1.00000000,0.00000000,0
137.000,-9.45200001,0.00400000,-0.01000000,0.01000000,1.00000000,0.00000000,0
138.000,-9.44800001,0.00400000,-0.01000000,0.01000000,1.00000000,0.00000000,0
139.000,-9.44400001,0.00400000,-0.01000000,0.01000000,1.00000000,0.00000000,0
140.000,-9.44000001,0.00400000,-0.01000000,0.01000000,1.00000000,0.00000000,0
141.000,-9.43600001,0.00400000,-0.01000000,0.01000000,1.00000000,0.00000000,0
142.000,-9.43200001,0.00400000,-0.01000000,0.01000000,1.00000000,0.00000000,0
143.000,-9.42800001,0.00400000,-0.01000000,0.01000000,1.00000000,0.00000000,0
144.000,-9.42400001,0.00400000,-0.01000000,0.01000000,1.00000000,0.00000000,0
145.000,-9.42000001,0.00400000,-0.01000000,0.01000000,1.00000000,0.00000000,0
146.000,-9.41600001,0.00400000,-0.01000000,0.01000000,1.00000000,0.00000000,0
147.000,-9.41200001,0.00400000,-0.01000000,0.01000000,1.00000000,0.00000000,0
148.000,-9.40800001,0.00400000,-0.01000000,0.01000000,1.00000000,0.00000000,0
149.000,-9.40400001,0.00400000,-0.01000000,0.01000000,1.00000000,0.00000000,0
150.000,-9.40000001,0.00400000,-0.01000000,0.01000000,1.00000000,0.00000000,0
151.000,-9.39600001,0.00400000,-0.01000000,0.01000000,1.00000000,0.00000000,0
152.000,-9.39200001,0.00400000,-0.01000000,0.01000000,1.00000000,0.00000000,0
153.000,-9.38800002,0.00400000,-0.01000000,0.01000000,1.00000000,0.00000000,0
154.000,-9.38400002,0.00400000,-0.01000000,0.01000000,1.00000000,0.00000000,0
155.000,-9.38000002,0.00400000,-0.01000000,0.01000000,1.00000000,0.00000000,0
156.000,-9.37600002,0.00400000,-0.01000000,0.01000000,1.00000000,0.00000000,0
157.000,-9.37200002,0.00400000,-0.01000000,0.01000000,1.00000000,0.00000000,0
158.000,-9.36800002,0.00400000,-0.01000000,0.01000000,1.00000000,0.00000000,0
159.000,-9.36400002,0.00400000,-0.01000000,0.01000000,1.00000000,0.00000000,0
160.000,-9.36000002,0.00400000,-0.01000000,0.01000000,1.00000000,0.00000000,0
161.000,-9.35600002,0.00400000,-0.01000000,0.01000000,1.00000000,0.00000000,0
162.000,-9.35200002,0.00400000,-0.01000000,0.01000000,1.00000000,0.00000000,0
163.000,-9.34800002,0.00400000,-0.01000000,0.01000000,1.00000000,0.00000000,0
164.000,-9.34400002,0.00400000,-0.01000000,0.01000000,1.00000000,0.00000000,0
165.000,-9.34000002,0.00400000,-0.01000000,0.01000000,1.00000000,0.00000000,0
166.000,-9.33600002,0.00400000,-0.01000000,0.01000000,1.00000000,0.00000000,0
167.000,-9.33200002,0.00400000,-0.01000000,0.01000000,1.00000000,0.00000000,0
168.000,-9.32800002,0.00400000,-0.01000000,0.01000000,1.00000000,0.00000000,0
169.000,-9.32400002,0.00400000,-0.01000000,0.01000000,1.00000000,0.00000000,0
170.000,-9.32000002,0.00400000,-0.01000000,0.01000000,1.00000000,0.00000000,0
171.000,-9.31600002,0.00400000,-0.01000000,0.01000000,1.00000000,0.00000000,0
172.000,-9.31200002,0.00400000,-0.01000000,0.01000000,1.00000000,0.00000000,0
173.000,-9.30800002,0.00400000,-0.01000000,0.01000000,1.00000000,0.00000000,0
174.000,-9.30400002,0.00400000,-0.01000000,0.01000000,1.00000000,0.00000000,0
175.000,-9.30000002,0.00400000,-0.01000000,0.01000000,1.00000000,0.00000000,0
176.000,-9.29600002,0.00400000,-0.01000000,0.01000000,1.00000000,0.00000000,0
177.000,-9.29200002,0.00400000,-0.01000000,0.01000000,1.00000000,0.00000000,0
178.000,-9.28800002,0.00400000,-0.01000000,0.01000000,1.00000000,0.00000000,0
179.000,-9.28400002,0.00400000,-0.01000000,0.01000000,1.00000000,0.00000000,0
180.000,-9.28000002,0.00400000,-0.01000000,0.01000000,1.00000000,0.00000000,0
181.000,-9.27600002,0.00400000,-0.01000000,0.01000000,1.00000000,0.00000000,0
182.000,-9.27200002,0.00400000,-0.01000000,0.01000000,1.00000000,0.00000000,0
183.000,-9.26800002,0.00400000,-0.01000000,0.01000000,1.00000000,0.00000000,0
184.000,-9.26400002,0.00400000,-0.01000000,0.01000000,1.00000000,0.00000000,0
185.000,-9.26000002,0.00400000,-0.01000000,0.01000000,1.00000000,0.00000000,0
186.000,-9.25600002,0.00400000,-0.01000000,0.01000000,1.00000000,0.00000000,0
187.000,-9.25200002,0.00400000,-0.01000000,0.01000000,1.00000000,0.00000000,0
188.000,-9.24800002,0.00400000,-0.01000000,0.01000000,1.00000000,0.00000000,0
189.000,-9.24400003,0.00400000,-0.01000000,0.01000000,1.00000000,0.00000000,0
190.000,-9.24000003,0.00400000,-0.01000000,0.01000000,1.00000000,0.00000000,0
191.000,-9.23600003,0.00400000,-0.01000000,0.01000000,1.00000000,0.00000000,0
192.000,-9.23200003,0.00400000,-0.01000000,0.01000000,1.00000000,0.00000000,0
193.000,-9.22800003,0.00400000,-0.01000000,0.01000000,1.00000000,0.00000000,0
194.000,-9.22400003,0.00400000,-0.01000000,0.01000000,1.00000000,0.00000000,0
195.000,-9.22000003,0.00400000,-0.01000000,0.01000000,1.00000000,0.00000000,0
196.000,-9.21600003,0.00400000,-0.01000000,0.01000000,1.00000000,0.00000000,0
197.000,-9.21200003,0.00400000,-0.01000000,0.01000000,1.00000000,0.00000000,0
198.000,-9.20800003,0.00400000,-0.01000000,0.01000000,1.00000000,0.00000000,0
199.000,-9.20400003,0.00400000,-0.01000000,0.01000000,1.00000000,0.00000000,0
200.000,-9.20000003,0.00400000,-0.01000000,0.01000000,1.00000000,0.00000000,0
201.000,-9.19600003,0.00400000,-0.01000000,0.01000000,1.00000000,0.00000000,0
202.000,-9.19200003,0.00400000,-0.01000000,0.01000000,1.00000000,0.00000000,0
203.000,-9.18800003,0.00400000,-0.01000000,0.01000000,1.00000000,0.00000000,0
204.000,-9.18400003,0.00400000,-0.01000000,0.01000000,1.00000000,0.00000000,0
205.000,-9.18000003,0.00400000,-0.01000000,0.01000000,1.00000000,0.00000000,0
206.000,-9.17600003,0.00400000,-0.01000000,0.01000000,1.00000000,0.00000000,0
207.000,-9.17200003,0.00400000,-0.01000000,0.01000000,1.00000000,0.00000000,0
208.000,-9.16800003,0.00400000,-0.01000000,0.01000000,1.00000000,0.00000000,0
209.000,-9.16400003,0.00400000,-0.01000000,0.01000000,1.00000000,0.00000000,0
210.000,-9.16000003,0.00400000,-0.01000000,0.01000000,1.00000000,0.00000000,0
211.000,-9.15600003,0.00400000,-0.01000000,0.01000000,1.00000000,0.00000000,0
212.000,-9.15200003,0.00400000,-0.01000000,0.01000000,1.00000000,0.00000000,0
213.000,-9.14800003,0.00400000,-0.01000000,0.01000000,1.00000000,0.00000000,0
214.000,-9.14400003,0.00400000,-0.01000000,0.01000000,1.00000000,0.00000000,0
215.000,-9.14000003,0.00400000,-0.01000000,0.01000000,1.00000000,0.00000000,0
216.000,-9.13600004,0.00400000,-0.01000000,0.01000000,1.00000000,0.00000000,0
217.000,-9.13200004,0.00400000,-0.01000000,0.01000000,1.00000000,0.00000000,0
218.000,-9.12800004,0.00400000,-0.01000000,0.01000000,1.00000000,0.00000000,0
219.000,-9.12400004,0.00400000,-0.01000000,0.01000000,1.00000000,0.00000000,0
220.000,-9.12000004,0.00400000,-0.01000000,0.01000000,1.00000000,0.00000000,0
221.000,-9.11600004,0.00400000,-0.01000000,0.01000000,1.00000000,0.00000000,0
222.000,-9.11200004,0.00400000,-0.01000000,0.01000000,1.00000000,0.00000000,0
223.000,-9.10800004,0.00400000,-0.01000000,0.01000000,1.00000000,0.00000000,0
224.000,-9.10400004,0.00400000,-0.01000000,0.01000000,1.00000000,0.00000000,0
225.000,-9.10000004,0.00400000,-0.01000000,0.01000000,1.00000000,0.00000000,0
226.000,-9.09600004,0.00400000,-0.01000000,0.01000000,1.00000000,0.00000000,0
227.000,-9.09200004,0.00400000,-0.01000000,0.01000000,1.00000000,0.00000000,0
228.000,-9.08800004,0.00400000,-0.01000000,0.01000000,1.00000000,0.00000000,0
