Momentum,Reflexion,Tran_Lower,Tran_Upper,Ref_Upper
1.0000000,1.0000000,0.0000000,0.0000000,0.0000000
2.0000000,1.0000000,0.0000000,0.0000000,0.0000000
3.0000000,1.0000000,0.0000000,0.0000000,0.0000000
4.0000000,1.0000000,0.0000000,0.0000000,0.0000000
5.0000000,0.0495000,0.9505000,0.0000000,0.0000000
6.0000000,0.1205000,0.8795000,0.0000000,0.0000000
7.0000000,0.1710000,0.8290000,0.0000000,0.0000000
8.0000000,0.1245000,0.8755000,0.0000000,0.0000000
9.0000000,0.0000000,0.8905000,0.1095000,0.0000000
10.0000000,0.0000000,0.8310000,0.1690000,0.0000000
11.0000000,0.0000000,0.7940000,0.2060000,0.0000000
12.0000000,0.0000000,0.7700000,0.2300000,0.0000000
13.0000000,0.0000000,0.7435000,0.2565000,0.0000000
14.0000000,0.0000000,0.6905000,0.3095000,0.0000000
15.0000000,0.0000000,0.6595000,0.3405000,0.0000000
16.0000000,0.0000000,0.6300000,0.3700000,0.0000000
17.0000000,0.0000000,0.6080000,0.3920000,0.0000000
18.0000000,0.0000000,0.5830000,0.4170000,0.0000000
19.0000000,0.0000000,0.5405000,0.4595000,0.0000000
20.0000000,0.0000000,0.5060000,0.4940000,0.0000000
21.0000000,0.0000000,0.4535000,0.5465000,0.0000000
22.0000000,0.0000000,0.4435000,0.5565000,0.0000000
23.0000000,0.0000000,0.4245000,0.5755000,0.0000000
24.0000000,0.0000000,0.4090000,0.5910000,0.0000000
25.0000000,0.0000000,0.3885000,0.6115000,0.0000000
26.0000000,0.0000000,0.3530000,0.6470000,0.0000000
27.0000000,0.0000000,0.3275000,0.6725000,0.0000000
28.0000000,0.0000000,0.3185000,0.6815000,0.0000000
29.0000000,0.0000000,0.2855000,0.7145000,0.0000000
30.0000000,0.0000000,0.2985000,0.7015000,0.0000000
